INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
64110890,07/26/2009,10:00:00,QUEENS,,104,0,,MULTI DWELL - APT BUILD,false,25-44,M,WHITE HISPANIC,UNKNOWN,M,BLACK,1009150.062500000000000,196146.078125000000000,40.705025621000061,-73.910193762999938,POINT (-73.91019376299994 40.70502562100006)
197691090,05/27/2019,18:00:00,BROOKLYN,,67,0,,,false,<18,M,BLACK,18-24,M,BLACK,998235.125000000000000,173191.250000000000000,40.642043758000057,-73.949608555999987,POINT (-73.94960855599999 40.64204375800006)
74788924,09/26/2010,21:30:00,MANHATTAN,,9,0,,MULTI DWELL - APT BUILD,false,18-24,M,WHITE HISPANIC,25-44,M,WHITE,987756.000000000000000,204106.046875000000000,40.726908171000048,-73.987352118999979,POINT (-73.98735211899998 40.72690817100005)
23846685,08/13/2006,04:15:00,BRONX,,46,0,,,false,<18,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1009800.687500000000000,248501.109375000000000,40.848724458000049,-73.907648064999989,POINT (-73.90764806499999 40.84872445800005)
186047188,08/05/2018,10:35:00,BROOKLYN,,79,0,,,false,18-24,M,BLACK,25-44,M,BLACK,1000164.062500000000000,188530.890625000000000,40.684144420000052,-73.942621772999985,POINT (-73.94262177299998 40.68414442000005)
170620027,10/20/2017,22:51:00,BRONX,,52,0,,,false,25-44,M,WHITE HISPANIC,45-64,M,BLACK,1013114.750000000000000,255491.968750000000000,40.867902049000065,-73.895639236999955,POINT (-73.89563923699995 40.867902049000065)
94179658,12/25/2013,04:15:00,STATEN ISLAND,,122,0,,,false,,,,25-44,M,WHITE,962111.500000000000000,150335.750000000000000,40.579293492000033,-74.079698606999955,POINT (-74.07969860699995 40.57929349200003)
74281246,08/23/2010,15:12:00,BROOKLYN,,67,0,,,false,18-24,M,BLACK,18-24,M,BLACK,997843.000000000000000,175671.000000000000000,40.64885074700004,-73.951016510999978,POINT (-73.95101651099998 40.64885074700004)
80103410,08/02/2011,17:37:00,QUEENS,,101,2,,MULTI DWELL - PUBLIC HOUS,true,,,,25-44,M,BLACK,1044388.875000000000000,157138.156250000000000,40.597788356000081,-73.783445219999976,POINT (-73.78344521999998 40.59778835600008)
46715568,05/24/2008,01:05:00,BRONX,,40,0,,MULTI DWELL - PUBLIC HOUS,false,25-44,M,BLACK,25-44,M,BLACK,1009373.687500000000000,235405.500000000000000,40.812782005000031,-73.909240502999978,POINT (-73.90924050299998 40.81278200500003)
140228389,12/17/2014,10:24:00,MANHATTAN,,32,0,,,false,18-24,M,BLACK,25-44,M,BLACK,1000515.375000000000000,237599.203125000000000,40.818823854000073,-73.941236402999948,POINT (-73.94123640299995 40.81882385400007)
79853888,07/16/2011,00:40:00,BROOKLYN,,63,0,,MULTI DWELL - APT BUILD,false,,,,<18,M,BLACK,999059.875000000000000,167196.406250000000000,40.625587842000073,-73.946649872999956,POINT (-73.94664987299996 40.62558784200008)
71258747,02/11/2010,20:46:00,QUEENS,,105,0,,,false,UNKNOWN,M,BLACK,25-44,M,BLACK,1054040.000000000000000,195563.000000000000000,40.703185033000068,-73.748294739999949,POINT (-73.74829473999995 40.70318503300007)
61593630,05/10/2009,01:03:00,BRONX,,46,0,,,true,18-24,M,BLACK HISPANIC,25-44,M,UNKNOWN,1009016.750000000000000,249682.390625000000000,40.851968958000043,-73.910477253999943,POINT (-73.91047725399994 40.85196895800005)
76623745,12/28/2010,19:57:00,STATEN ISLAND,,120,0,,GROCERY/BODEGA,true,18-24,M,BLACK,18-24,M,BLACK,946912.937500000000000,171155.484375000000000,40.636388357000044,-74.134527486999957,POINT (-74.13452748699996 40.636388357000044)
26513633,01/27/2007,02:20:00,BROOKLYN,,79,0,,,false,UNKNOWN,M,BLACK,18-24,M,BLACK,996546.000000000000000,187436.000000000000000,40.681144959000051,-73.95566903799994,POINT (-73.95566903799994 40.68114495900006)
137207147,06/12/2014,04:22:00,QUEENS,,106,0,,,false,,,,25-44,M,BLACK,1038635.250000000000000,185105.453125000000000,40.674589622000042,-73.803938175999974,POINT (-73.80393817599997 40.67458962200004)
213943825,06/07/2020,13:40:00,BROOKLYN,,73,2,,MULTI DWELL - PUBLIC HOUS,true,18-24,M,BLACK,25-44,M,BLACK,1005740.062500000000000,182008.843750000000000,40.666231092000032,-73.922537775999956,POINT (-73.92253777599997 40.66623109200003)
